Devices
1000
		PedaleDroite - Force			PedaleDroite - Moment			PedaleDroite - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
9216	1	-25.9989	33.5847	-318.069	476.005	214.917	-349.453	0.675692	-1.49655	0
9216	2	-27.7207	33.424	-316.333	437.29	182.323	-299.725	0.576366	-1.38238	0
9216	3	-33.1926	33.4315	-308.944	441.418	88.2864	-294.355	0.285768	-1.42879	0
9217	0	-30.6059	32.4825	-311.756	434.386	171.575	-272.844	0.550349	-1.39335	0
9217	1	-30.1125	30.0673	-307.474	479.603	288.455	-210.904	0.938146	-1.55981	0
9217	2	-30.5517	30.7995	-304.474	427.212	230.787	-219.863	0.757987	-1.40312	0
9217	3	-31.63	30.25	-303.215	411.076	187.328	-243.312	0.617804	-1.35572	0
9218	0	-31.1146	30.8547	-301.832	303.561	168.682	-385.775	0.558862	-1.00573	0
9218	1	-31.8152	32.5077	-305.088	228.109	103.773	-473.276	0.340141	-0.747683	0
9218	2	-27.2797	26.8349	-295.043	282.526	141.945	-446.709	0.4811	-0.957575	0
9218	3	-24.7284	27.662	-295.487	242.16	144.503	-475.655	0.489035	-0.819531	0
9219	0	-24.2709	26.798	-289.999	164.015	135.895	-394.832	0.468604	-0.56557	0
9219	1	-22.2921	26.3475	-290.167	164.697	168.805	-262.749	0.581752	-0.567595	0
9219	2	-22.6467	25.3086	-290.78	120.052	144.021	-230.472	0.495293	-0.412863	0
9219	3	-23.2621	24.9502	-289.862	201.543	208.713	-262.773	0.720042	-0.695309	0
9220	0	-19.3036	24.772	-289.264	109.106	178.573	-249.344	0.617336	-0.377186	0
9220	1	-20.3977	26.1524	-289.013	3.72217	149.403	-262.614	0.516941	-0.0128789	0
9220	2	-20.0577	24.3121	-285.998	-66.8088	244.208	-183.992	0.85388	0.233599	0
9220	3	-17.9809	23.9099	-281.992	-24.8131	130.798	-315.099	0.463837	0.0879921	0
9221	0	-14.3252	22.8224	-282.518	37.8428	190.491	-388.758	0.674262	-0.133948	0
9221	1	-14.6731	23.3325	-279.66	-79.2724	166.479	-462.194	0.595292	0.28346	0
9221	2	-13.8282	23.2881	-279.774	-110.061	202.939	-369.405	0.725368	0.393393	0
9221	3	-14.9956	21.5985	-278.361	-89.3886	167.866	-472.108	0.603051	0.321125	0
